耀	yao,yue
滏	fu
滑	hua,gu
滓	zi
滔	tao
滕	teng
滗	bi
滘	jiao
滚	gun
滞	zhi
滟	yan
滠	she
满	man
滢	ying
滤	lu:
滥	lan
滦	luan
滨	bin
滩	tan
滴	di
滹	hu
漂	piao
漆	xi,qu,qi
漈	ji
漉	lu
漏	lou
漓	li
演	yan
漕	cao
漖	jiao
漠	mo
漩	xuan
漪	yi
漫	man
漭	mang
漯	luo,ta
漱	shu
漳	zhang
漶	huan
漷	huo,kuo
漾	yang
潆	ying
潇	xiao
潋	lian
潍	wei
潏	yu
潘	pan
潜	qian
潞	lu
潟	xi
潢	huang
潦	liao,lao
潭	tan
潮	chao
潲	shao
潴	zhu
潸	shan
潺	chan
潼	tong
澄	deng,cheng
澈	che
澉	gan
澌	si
澍	shu
澎	peng
澔	hao
澙	xi
澛	lu
澜	lan
澡	zao
澥	xie
澧	li
澪	ling
澫	man
澳	ao
澶	chan
澹	dan,tan
激	ji
濂	lian
濉	sui
濑	lai
濒	bin
濛	meng
濞	bi
濠	hao
濡	ru
濬	jun
濮	pu
濯	zhuo
瀑	bao,pu
瀚	han
瀛	ying
瀣	xie
瀹	yue
瀼	rang
灌	guan
灏	hao
灞	ba
火	huo
灬	biao
灭	mie
灯	deng
灰	hui
灵	ling
灶	zao
灸	jiu
灼	zhuo
灾	zai
灿	can
炀	yang
炅	gui,jiong
炆	wen
炉	lu
炊	chui
炎	yan
炒	chao
炔	que,gui
炕	kang
炖	dun
炘	xin
炙	zhi
炜	wei
炝	qiang
炤	zhao
炫	xuan
炬	ju
炭	tan
炮	bao,pao
炯	jiong
炱	tai
炳	bing
炷	zhu
炸	zha
点	dian
炻	shi
炼	lian
炽	chi
烀	hu
烁	shuo
烂	lan
烃	ting
烇	quan
烈	lie
烊	yang
烋	xiao
烔	tong
烘	hong
烙	luo,lao
烚	xia
烛	zhu
烜	xuan
烟	yan,yin
烤	kao
烦	fan
烧	shao
烨	ye
烩	hui
烫	tang
烬	jin
热	re
烯	xi
烱	jiong
烷	wan
烹	peng
烺	lang
烽	feng
焉	yan
焊	han
焌	jun,qu
焐	wu
焓	han
焕	huan
焖	men
焗	ju
焘	dao,tao
焙	bei
焚	fen
焜	kun
焦	jiao
焯	zhuo,chao
焰	yan
焱	yan
然	ran
煅	duan
煊	xuan
煌	huang
煎	jian
煕	xi
煜	yu
煞	sha
煤	mei
煦	xu
照	zhao
煨	wei
煮	zhu
煲	bao
煳	hu
煸	bian
煺	tui
煽	shan
熄	xi
熇	he
熊	xiong
熏	xun
熔	rong
熘	liu
熙	xi
熟	shu,shou
熠	yi
熨	yun,yu
熬	ao
熳	man
熵	shang
熹	xi
熺	xi
燁	ye
燃	ran
燊	shen
燎	liao
燏	yu
燐	lin
燔	fan
燕	yan
燚	yi
燠	yu
燥	zao
燧	sui
燮	xie
燹	xian
燿	yao
爆	bao
爝	jue,jiao
爨	cuan
爪	zhua,zhao
爬	pa
爰	yuan
爱	ai
爵	jue
父	fu
爷	ye
爸	ba
爹	die
爻	yao
爽	shuang
爿	qiang,pan,ban
牁	ke
牂	zang
片	pian
版	ban
牌	pai
牍	du
牒	die
牖	you
牙	ya
牛	niu
牝	pin
牟	mou,mu
牠	ta
牡	mu
牢	lao
牤	mang
牦	mao
牧	mu
物	wu
牯	gu
牲	sheng
牴	di
牵	qian
特	te
牺	xi
牾	wu
犀	xi
犁	li
犄	ji
犇	ben
犊	du
犋	ju
犍	qian,jian
犏	pian
犒	di,kao
犟	jiang
犬	quan
犭	quan
犯	fan
犰	qiu
犴	han,an
状	zhuang
犷	guang
犸	ma
犹	you
狁	yun
狂	kuang
狃	niu
狄	di
狈	bei
狍	pao
狎	xia
狐	hu
狒	fei
狗	gou
狙	ju
狞	ning
狠	hen
狡	jia,jiao
狨	rong
狩	shou
独	du
狭	xia
狮	shi
狯	kuai
狰	zheng
狱	yu
狲	sun
狳	yu
狴	bi
狷	juan
狸	li
狻	suan
狼	lang
猁	li
猃	xian
猄	jing
猊	ni
猎	lie
猓	guo
猕	mi
猖	chang
猗	yi
猛	meng
猜	cai
猝	cu
猞	she
猡	luo
猢	hu
猥	wei
猩	xing
猪	zhu
猫	mao
猬	wei
献	xian
猱	nao
猴	hou
猷	you
猾	hua
猿	yuan
獍	jing
獐	zhang
獒	ao
獗	jue
獠	liao
獬	xie
獭	ta
獯	xun
獴	meng
獾	huan
玄	xuan
率	lu:,shuo,shuai
玉	yu
王	wang
玎	ding
玏	le
玑	ji
玒	hong
玓	di
玕	gan
玖	jiu
玗	yu
玘	qi
玙	yu
玚	chang,yang
玛	ma
玟	wen,min
玠	jie
玢	bin,fen
玥	yue
玩	wan
玪	jian
玫	mei
玮	wei
环	huan
现	xian
玲	ling
玳	dai
玷	dian
玹	xuan
玺	xi
玻	bo
珀	po
珂	ke
珅	shen
珈	jia
珉	min
珊	shan
珍	zhen
珏	jue
珐	fa
珑	long
珙	gong
珞	luo
珠	zhu
珣	xun
珥	er
珧	yao
珩	hang,heng
珪	gui
班	ban
珮	pei
珰	dang
珲	hun,hui
珵	cheng
珺	jun
珽	ting
球	qiu
琅	lang
理	li
琇	xiu
琉	liu
琊	ya,ye
琍	li
琎	jin
琏	lian
琐	suo
琓	wan
琚	ju
琛	chen
琢	zhuo,zuo
琤	cheng
琥	hu
琦	qi
琨	kun
琪	qi
琫	beng
琬	wan
琮	cong
琯	guan
琰	yan
琳	lin
琴	qin
琵	pi
琶	pa,ba
琼	qiong
瑀	yu
瑁	mei,mao
瑄	xuan
瑆	xing
瑕	xia
瑗	yuan
瑙	nao
瑚	hu
瑛	ying
瑜	yu
瑞	rui
瑟	se
瑢	rong
瑭	tang
瑮	li
瑯	lang
瑰	gui
瑱	tian
瑶	yao
瑷	ai
瑾	jin
璀	cui
璁	cong
璃	li
璆	qiu
璇	xuan
璈	ao
璋	zhang
璎	ying
璐	lu
璘	lin
璜	huang
璞	pu
璟	jing
璠	fan
璧	bi
璨	can
璩	qu
璺	wen
瓅	li
瓒	zan
瓘	guan
瓜	gua
瓞	die
瓠	hu
瓢	piao
瓣	ban
瓤	rang
瓦	wa
瓮	weng
瓯	ou
瓴	ling
瓶	ping
瓷	ci
瓿	bu
甄	zhen
甍	meng
甑	zeng
甓	pi
甘	gan
甙	dai
甚	she,shen
甜	tian
生	sheng
甡	shen
甥	sheng
用	yong
甩	shuai
甪	lu
甫	fu
甬	yong
甭	beng
甯	ning
田	tian
由	you
甲	jia
申	shen
甴	zha
电	dian
男	nan
甸	dian
町	ding,ting
画	hua
甾	zai
畀	bi
畅	chang
畈	fan
畊	geng
畋	tian
界	jie
畎	quan
畏	wei
畔	pan
留	liu
畚	ben
畛	zhen
畜	chu,xu
略	lu:e
畦	xi,qi
番	fan,pan
畬	yu
畯	jun
畲	she
畴	chou
畸	ji
畹	wan
畿	ji
疃	tuan
疆	jiang
疋	shu,ya,pi
疍	dan
疏	shu
疑	yi
疒	chuang
疔	ding
疖	jie
疗	liao
疙	ge
疚	jiu
疝	shan
疟	nu:e,yao
疠	li
疡	yang
疣	you
疤	ba
疥	jie
疫	yi
疬	li
疮	chuang
疯	feng
疰	zhu
疱	pao
疲	pi
疳	gan
疴	ke
疵	ci
疸	dan,da
疹	zhen
疼	teng
疽	ju
疾	ji
痂	jia
痄	zha
病	bing
症	zheng
痈	yong
痉	jing
痊	quan
痍	yi
痒	yang
痔	zhi
痕	hen
痖	ya
痘	dou
痛	tong
痞	pi
痢	li
痣	zhi
痤	cuo
痦	wu
痧	sha
痨	lao
痪	huan
痫	xian
痰	tan
痱	fei
痴	chi
痹	bi
痼	gu
痿	wei
瘀	yu
瘁	cui
瘅	dan
瘊	hou
瘌	la
瘐	yu
瘕	xia,jia
瘗	yi
瘘	lou
瘙	sao
瘛	chi
瘟	wen
瘠	ji
瘢	ban
瘤	liu
瘥	chai,cuo
瘦	shou
瘩	da
瘪	bie
瘫	tan
瘰	luo
瘳	chou
瘴	zhang
瘵	zhai
瘸	que
瘼	mo
瘾	yin
瘿	ying
癀	huang
癃	long
癈	fei
癌	yan,ai
癍	ban
癎	xian
癒	yu
癔	yi
癖	pi
癜	dian
癞	lai
癣	xuan
癫	dian
癯	qu
癶	bo
癸	gui
発	fa
登	deng
白	bai
百	bai,bo
癿	qie
皂	zao
皃	mao
的	de,di
皆	jie
皇	huang
皈	gui
皋	gao
皎	jia,jiao
皐	gao
皑	ai
皓	hao
皕	bi
皖	wan,huan
皙	xi
皛	jiong
皝	huang
皞	hao
皡	hao
皤	po
皥	hao
皦	jiao
皮	pi
皱	zhou
皲	jun
皴	cun
皷	gu
皿	min
盂	yu
盃	bei
盅	zhong
盆	pen
盈	ying
盉	he
益	yi
盋	bo
盌	wan
盍	he
盎	ang
盏	zhan
盐	yan
监	jian
盒	he
盔	kui
盖	gai,ge
盗	dao
盘	pan
盛	cheng,sheng
盝	lu
盟	meng,ming
盥	guan
盦	an
盩	zhou
盫	an
盬	gu
目	mu
盯	ding
盱	xu
盲	mang
直	zhi
相	xiang
盹	dun
盻	xi
盼	pan
盾	shun,dun
眀	ming
省	xing,sheng
眄	mian
眅	pan
眇	miao
眈	dan
眉	mei
眊	mao
看	kan
県	xian
眎	shi
眏	yang
眕	zhen
眘	shen
眙	yi
眚	sheng
眛	mei
眜	mo
眞	zhen
真	zhen
眠	mian
眦	zi
眨	zha
眩	xuan
眬	long
眭	sui
眯	mi
眴	xuan
眵	chi
眶	kuang
眷	juan
眸	mou
眺	tiao
眼	yan
眽	mo
着	zhuo,zhao,zhe
睁	zheng
睃	suo
睆	huan
睇	di
睌	wan
睍	xian
睐	lai
睑	jian
睒	shan
睗	shi
睚	ya,ai
睛	jing
睟	sui
睡	shui
睢	sui
督	du
睥	bi,pi
睦	mu
睨	ni
睩	lu
睫	jie
睬	cai
睰	ma
睱	xia
睹	du
睺	hou
睽	kui
睾	gao
睿	rui
瞀	mao
瞄	miao
瞅	chou
瞇	mi
瞉	kou
瞋	chen
瞌	ke
瞎	xia
瞑	ming
瞒	man
瞓	shui
瞟	piao
瞠	cheng
瞢	meng
瞥	pie
瞧	qiao,ya
瞩	zhu
瞪	deng
瞫	shen
瞬	shun
瞭	liao
瞰	kan
瞳	tong
瞷	jian
瞻	zhan
瞽	gu
瞾	zhao
瞿	qu,ju
矅	yao
矍	jue
矔	guan
矗	chu
矛	mao
矜	qin,guan,jin
矞	yu
矟	shuo
矢	shi
矣	yi
知	zhi
矧	shen
矩	ju
矫	jia,jiao
矬	cuo
短	duan
矮	ai
矰	zeng
石	dan,shi
矴	ding
矶	ji
矸	gan
矺	tuo
矻	ku
矼	qiang
矽	xi
矾	fan
矿	kuang
砀	dang
码	ma
砂	sha
砈	nuo
砉	hua,xu
砌	qi,qie
砍	kan
砑	ya
砒	pi
研	yan
砖	zhuan
砗	che
砚	yan
砜	feng
砝	fa
砟	zha,zuo
砡	yu
砢	ke
砣	tuo
砥	di
砦	zhai
砧	zhen
砩	fei,fu
砪	mu
砫	zhu
砬	la,li
砭	bian
砮	nu
砯	ping
砰	peng
砲	pao
砳	le
破	po
砵	bo
砷	shen
砸	za
砹	ai
砺	li
砻	long
砼	tong
砾	li
础	chu
硁	keng
硅	huo,gui
硇	nao
硉	lu
硊	wei,kui
硌	luo,ge
硍	ken
硎	xing
硏	yan
硐	dong
硒	xi
硕	shuo
硖	xia
硗	qiao
硙	wei
硚	qiao
硝	xiao
硦	long
硩	che
硪	wo
硫	liu
硬	ying
硭	mang
确	que
硷	jian
硼	peng
硿	kong
碁	qi
碇	ding
碉	diao
碌	liu,lu
碍	ai
碎	sui
碏	que
碑	bei
碓	dui
碗	wan
碘	dian
碚	bei
碛	qi
碜	chen
碞	yan
碟	die
碡	zhou
碣	jie
碤	ying
碥	bian
碧	bi
碨	wei
碪	zhen
碰	peng
碱	jian
碲	di
碳	tan
碴	cha
碶	qi
碹	xuan
碻	que
碾	nian
磁	ci
磅	bang,pang
磉	sang
磊	lei
磋	cuo
磎	xi
磏	lian
磐	pan
磔	zhe
磕	ke
磘	qing
磙	gun
磜	qi
磝	ao
磡	kan
磤	yin
磨	mo
磪	cui
磬	qing
磱	lao
磲	qu
磴	deng
磵	jian
磷	lin
磹	dian
磺	huang
磻	pan
磿	li
礀	jian
礁	jiao
礅	dun
礐	que
礑	dang
礒	yi,wo
礓	jiang
礜	yu
礠	zi
礡	bo
礤	ca
礮	pao
礴	bo
礵	shuang
示	shi
礻	shi
礼	li
礽	reng
社	she
礿	yue
祀	si
祁	qi
祂	ta
祃	ma
祄	xie
祅	yao
祆	xian
祇	qi,zhi
祈	qi
祉	zhi
祊	beng
祋	shu
祌	chong
祎	yi
祏	shi
祐	you
祓	fu
祔	fu
祖	zu
祗	zhi
祘	suan
祚	zuo
祛	qu
祜	hu
祝	zhu
神	shen
祟	sui
祠	ci
祢	ni,mi
祤	yu
祥	xiang
祦	wu
祧	tiao
票	piao
祩	zhu
祫	xia
祬	zhi
祭	ji,zhai
祯	zhen
祲	jin
祳	zhen
祷	dao
祸	huo
祹	tao
祺	qi
祼	guan
祾	ling
禀	bing
禁	jin
禃	zhi
禄	lu
禅	shan,chan
禆	bei
禇	zhe
禊	xi
禋	yin
禌	zi
福	fu
禐	yuan
禑	wu
禔	ti
禕	yi
禖	mei
禘	di
禚	zhuo
禛	zhen
禝	ji
禟	tang
禠	chi
禤	xuan
禥	qi
禧	xi
禨	ji
禩	si
禫	xuan
禬	hui
禳	rang
禴	yue
禵	ti
禶	zan
禸	rou
禹	yu
禺	yu
离	li
禼	xie
禽	qin
禾	he
秀	xiu
私	si
秃	tu
秅	cha
秆	gan
秉	bing
秋	qiu
秌	qiu
种	zhong,chong
秏	hao
科	ke
秒	miao
秕	bi
秘	lin,bi,mi
租	zu
秠	pi
秡	ba
秣	mo
秤	chen,cheng
秥	nian
秦	qin
秧	yang
秩	zhi
秫	shu
秬	ju
秭	zi
积	ji
称	chen,cheng
秱	tong
秸	jie
秺	du
移	yi
秽	hui
秾	nong
稀	xi
稃	fu
稉	jing
程	cheng
稍	shao
税	shui
稑	lu
稔	ren
稗	bi,bai
稙	zhi
稚	zhi
稞	ke
稠	chou
稣	su
稭	jie
稲	dao
稳	wen
稷	ji
稹	zhen
稻	dao
稼	jia
稽	qi,ji
稾	gao
稿	gao
穂	sui
穄	ji
穆	mu
穉	zhi
穋	lu
穏	wen
穐	qiu
穑	se
穗	sui
穚	jiao
穜	tong
穟	sui
穣	rang
穨	tui
穰	rang
穴	xue
穵	wa
究	jiu
穷	qiong
穹	qiong
空	kong
穿	chuan
突	tu
窃	qie
窄	ze,zhai
窅	yao
窆	bian
窈	yao
窊	yu
窋	zhu
窍	qiao
窑	yao
窒	zhi
窓	chuan
窕	tiao
窖	jiao
窗	chuang
窘	jun,jiong
窜	cuan
窝	wo
窟	ku
窠	ke
窣	su
窥	kui
窦	dou
窨	xun,yin
窬	yu
窭	ju
窰	yao
窳	yu
窴	tian
窸	xi
窻	chuang
窿	long
竂	piao
竃	zao
竉	zao
立	li
竑	hong
竒	qi,ji
竖	shu
竘	ju
站	zhan
竜	long
竝	bing
竞	jing
竟	jing
章	zhang
竢	si,qi
竣	jun
童	tong
竦	song
竩	yi
竭	jie
端	duan
竳	deng
竸	jing
竹	zhu
竺	zhu
竻	le
竽	yu
竿	gan
笀	mang
笃	du
笄	ji
笅	xiao
笆	ba
笇	suan
笈	ji
笊	zhao
笋	sun
笏	hu
笑	xiao
笒	cen
笔	bi
笕	jian
笙	sheng
笛	di
笞	chi
笠	li
笤	tiao
笥	si
符	fu
笨	ben
笩	fa
笪	da
笫	zi
第	di
笭	ling
笮	zuo,ze
笱	gou
笳	jia
笵	fan
笸	po
笺	jian
笼	long
笾	bian
筅	xian
筇	qiong
筈	gua
等	deng
筊	jiao
筋	jin
筌	quan
筎	ru
筏	fa
筐	kuang
筑	zhu
筒	tong
答	da
策	ce
筚	bi
筛	shai
筜	dang
筝	zheng
筠	jun,yun
筥	ju
筦	guan
筩	tong
筫	zhi
筬	cheng
筭	suan
筮	shi
筯	zhu
筰	zuo
筱	xiao
筲	shao
筳	ting
筵	yan
筶	gao
筷	kuai
筸	gan
筹	chou
筻	gang
筼	yun
签	qian
筿	xiao
简	jian
箅	bi
箆	bi
箍	gu
箎	chi
箐	qing
箑	sha
箒	zhou
箓	lu
箔	bo
箕	ji
算	suan
箙	fu
箚	zha
箜	kong
箝	qian
箠	chui
管	guan
箣	ce
箦	ze
箧	qie
箨	tuo
箩	luo
箪	dan
箫	xiao
箬	ruo
箭	jian
箰	sun
箱	xiang
箴	zhen
箸	zhu
篁	huang
篆	zhuan
篇	pian
篌	hou
篑	kui
篓	lou
篙	gao
篚	fei
篝	gou
篡	cuan
篢	gong
篥	li
篦	bi
篪	chi
篮	lan
篯	jian
篰	bu
篱	li
篲	hui
篷	peng
篼	dou
篾	mie
簃	yi
簇	cu
簋	gui
簌	su
簏	lu
簒	cuan
簕	le
簖	duan
簗	liang
簟	dian
簠	fu
簧	huang
簪	zan
簷	yan
簸	bo
簿	bu
籀	zhou
籁	lai
籍	ji
籐	teng
籑	zhuan
籓	fan
籖	qian
籣	lan
籥	yue
籧	qu
米	mi
籴	di
籹	nu:
籺	xie
类	lei
籼	xian
籽	zi
籾	ni
粁	qian
粃	bi
粄	ban
粉	fen
粋	cui,sui
粍	li
粑	ba
粒	li
粕	po
粗	cu
粘	zhan,nian
粛	su
粜	tiao
粝	li
粟	su
粢	ci,zi
粤	yue
粥	yu,zhou
粦	lin
粧	zhuang
粨	bai
粪	fen
粬	qu
粮	liang
粱	liang
粲	can
粳	geng,jing
粸	qi
粹	cui
粼	lin
粽	zong
精	jing
粿	guo
糁	san,shen
糅	rou
糈	xu
糊	hu
糌	zan
糍	ci
糎	li
糒	bei
糕	gao
糖	tang
糗	qiu
糙	cao
糜	mei,mi
糟	zao
糠	kang
糢	mo
糥	nuo
糨	jiang
糬	shu
糭	zong
糯	nuo
糸	mi
系	xi,ji
糼	gong
紃	xun
紊	wen
紏	tou
紘	hong
紝	ren
紞	dan
素	su
索	suo
紥	zha
紧	jin
紫	zi
累	lei
絇	ju
絋	kuang
経	jing
絖	kuang
絚	geng
絜	xie,jie
絣	beng,ping
絪	yin
絫	lei
絭	quan
絮	xu
絵	hui
絶	jue
絷	zhi
絿	qiu
綍	fu
綎	ting
綗	jiong
継	ji
続	xu
綝	lin
綦	qi
綧	zhun
綪	qian
綫	xian
綮	qing,qi
綷	cui
緁	jie
緃	zong
緈	xing
総	zong
緖	xu
緜	mian
緫	zong
縁	yuan
縂	zong
縄	sheng
縚	tao
縠	hu
縡	zai
縢	teng
縦	zong
縯	yin
縻	mi
繁	fan,po
繄	yi
繇	yao,zhou,you
繊	xian
繋	xi,ji
繖	san
繙	fan
繦	qiang
纂	zuan
纉	zuan
纒	chan
纕	xiang
纛	du,dao
纟	mi
纠	jiu
纡	yu
红	hong,gong
纣	zhou
纤	qian,xian
纥	he,ge
约	yao,yue
级	ji
纨	wan
纩	kuang
纪	ji
纫	ren
纬	wei
纭	yun
纮	hong
纯	chun
纰	pi
纱	sha
纲	gang
纳	na
纴	ren
纵	zong
纶	lun,guan
纷	fen
纸	zhi
纹	wen
纺	fang
纻	zhu
纽	niu
纾	shu
线	xian
绀	gan
绁	xie
绂	fu
练	lian
组	zu
绅	shen
细	xi
织	zhi
终	zhong
绉	zhou
绊	ban
绋	fu
绌	chu
绍	shao
绎	yi
经	jing
绐	dai
绑	bang
绒	rong
结	jie
绔	ku
绕	rao
绖	die
绗	hang
绘	hui
给	gei,ji
绚	xuan
绛	jiang
络	luo,lao
绝	jue
绞	jia,jiao
统	tong
绠	geng
绡	xiao
绢	juan
绣	xiu
绥	sui
绦	tao
继	ji
绨	ti,di
绩	ji
绪	xu
绫	ling
续	xu
绮	qi
绯	fei
绰	chuo,chao
绲	gun
绳	sheng
维	wei
绵	mian
绶	shou
绷	beng
绸	chou
绹	tao
绺	liu
绻	quan
综	zong,zeng
绽	zhan
绾	wan
绿	lu:,lu
缀	zhui
缁	zi
缂	ke
缃	xiang
缄	jian
缅	mian
缆	lan
缇	ti
缈	miao
缉	qi,ji
缊	yun
缋	hui
缌	si
缍	duo
缎	duan
缐	xian
缑	gou
缒	zhui
缓	huan
缔	di
缕	lu:
编	bian
缗	min
缘	yuan
缙	jin
缚	fu
缛	ru
缜	zhen
缝	feng
缞	cui
缟	gao
缠	chan
缡	li
缢	yi
缣	jian
缤	bin
缥	piao
缦	man
缧	lei
缨	ying
缩	su,suo
缪	mou,miu,miao
缫	sao
缬	xie
缭	liao
缮	shan
缯	zeng
缰	jiang
缱	qian
缲	sao,qiao,zao
缳	huan
缴	zhuo,jia,jiao
缵	zuan
缶	fou
缷	xie
缸	gang
缺	que
缾	ping
罂	ying
罄	qing
罅	xia
罊	qing
罍	lei
罐	guan
网	wang
罔	wang
罕	han
罗	luo
罘	fou,fu
罚	fa
罝	ju
罟	gu
罠	min
罡	gang
罢	ba
罣	gua
罨	yan
罩	zhao
罪	zui
罫	gua
置	zhi
署	shu
罳	si
罴	pi
罸	fa
罹	li
罽	ji
罾	zeng
羁	ji
羂	juan
羊	yang
羌	qiang
美	mei
羑	you
羔	gao
羕	yang
羖	gu
羗	qiang
羚	ling
羝	di
羞	xiu
羟	qiang
羡	xian
羢	rong
羣	qun
群	qun
羧	suo
羮	geng
羯	jie
羰	tang
羱	yuan
羲	xi
羸	lei
羹	geng
羼	chan
羽	yu
羾	gong
羿	yi
翀	chong
翁	weng
翃	hong
翅	chi
翈	xia
翊	yi
翌	yi
翎	ling
翔	xiang
翕	xi
翘	qiao
翙	hui
翚	hui
翛	shu
翜	se
翟	di,zhai
翠	cui
翡	fei
翣	sha
翥	zhu
翦	jian
翩	pian
翫	wan
翮	he
翯	he
翰	han
翱	ao
翲	piao
翳	yi
翷	lin
翺	ao
翻	fan
翼	yi
翾	xuan
