耀	yao,yue
覩	du
観	guan
见	xian,jian
观	guan
觃	yan
规	gui
觅	mi
视	shi
觇	chan
览	lan
觉	jue,jiao
觊	ji
觋	xi
觌	di
觎	yu
觏	gou
觐	jin
觑	qu
角	jia,jue,jiao
觔	jin
觕	cu
觖	jue
觚	gu
觜	zui,zi
觝	di
觞	shang
解	xie,jie
觥	gong
触	chu
觧	xie,jie
觭	ji
觯	zhi
觱	bi
觳	hu
觽	xi
觿	xi
言	yan
訄	qiu
訇	hong
訏	xu
訔	yin
訚	yin
訳	yi
訸	he
訾	zi
詈	li
詝	zhu
詟	zhe
詥	he
詧	cha
詹	zhan
誉	yu
誊	teng
誎	su
誐	e
誓	shi
誔	ting
誜	shua
説	yue,shuo,shui
読	du,dou
諌	jian
諟	shi
諠	xuan
諪	ting
諲	yin
諽	ge
謇	jian
謌	ge
謜	yuan
謢	hu
謤	biao
謦	qing
謩	mo
譌	e
譒	bo
譓	hui
譔	zhuan
譞	xuan
警	jing
譬	pi
譲	rang
譼	jian
讃	zan
讆	wei
讉	yi
讐	chou
讙	huan
讠	yan
计	ji
订	ding
讣	fu
认	ren
讥	ji
讦	jie
讧	hong
讨	tao
让	rang
讪	shan
讫	qi
讬	tuo
训	xun
议	yi
讯	xun
记	ji
讱	ren
讲	jiang
讳	hui
讴	ou
讵	ju
讶	ya
讷	ne
许	xu
讹	e
论	lun
讼	song
讽	feng
设	she
访	fang
诀	jue
证	zheng
诂	gu
诃	he
评	ping
诅	zu
识	shi,zhi
诇	xiong
诈	zha
诉	su
诊	zhen
诋	di
诌	zhou
词	ci
诎	qu
诏	zhao
诐	bi
译	yi
诒	yi
诓	kuang
诔	lei
试	shi
诖	gua
诗	shi
诘	jie,ji
诙	hui
诚	cheng
诛	zhu
诜	shen
话	hua
诞	dan
诟	gou
诠	quan
诡	gui
询	xun
诣	yi
诤	zheng
该	gai
详	xiang
诧	cha
诨	hun
诩	xu
诫	jie
诬	wu
语	yu
诮	qiao
误	wu
诰	gao
诱	you
诲	hui
诳	kuang
说	yue,shuo,shui
诵	song
诶	ei,ai,e^
请	qing
诸	zhu
诹	zou
诺	nuo
读	du,dou
诼	zhuo
诽	fei
课	ke
诿	wei
谀	yu
谁	shei,shui
谂	shen
调	tiao,diao
谄	chan
谅	liang
谆	zhun
谇	sui
谈	tan
谊	yi
谋	mou
谌	chen
谍	die
谎	huang
谏	jian
谐	xie
谑	xue
谒	ye
谓	wei
谔	e
谕	yu
谖	xuan
谗	chan
谘	zi
谙	an
谚	yan
谛	di
谜	mei,mi
谝	pian
谞	xu
谟	mo
谠	dang
谡	su
谢	xie
谣	yao
谤	bang
谥	shi
谦	qian
谧	mi
谨	jin
谩	man
谪	zhe
谬	miu
谭	tan
谮	zen,jian
谯	qiao
谰	lan
谱	pu
谲	jue
谳	yan
谴	qian
谵	zhan
谶	chen
谷	yu,gu
谼	hong
谿	xi,qi
豁	huo,hua
豆	dou
豇	jiang
豉	chi
豊	feng,li
豋	deng
豌	wan
豕	shi
豚	tun
象	xiang
豢	huan
豨	xi
豪	hao
豫	yu
豭	jia
豲	huan
豳	bin
豷	yi
豸	zhi
豹	bao
豺	chai
貂	diao
貅	xiu
貉	mo,hao,he
貊	mo
貌	mao
貍	li
貎	ni
貐	yu
貒	tuan
貔	pi
貘	mo
貜	qu
貤	yi
貮	er
貹	sheng
賔	bin
賛	zan
賨	cong
賸	sheng
贇	yun
贒	xian
贝	bei
贞	zhen
负	fu
贠	yuan,yun
贡	gong
财	cai
责	ze
贤	xian
败	bai
账	zhang
货	huo
质	zhi
贩	fan
贪	tan
贫	pin
贬	bian
购	gou
贮	zhu
贯	guan
贰	er
贱	jian
贲	bi,ben
贳	shi
贴	tie
贵	gui
贶	kuang
贷	dai
贸	mao
费	fei
贺	he
贻	yi
贼	zei
贽	zhi
贾	jia,gu
贿	hui
赀	zi
赁	lin
赂	lu
赃	zang
资	zi
赅	gai
赆	jin
赇	qiu
赈	zhen
赉	lai
赊	she
赋	fu
赌	du
赍	ji
赎	shu
赏	shang
赐	ci
赑	bi
赒	zhou
赓	geng
赔	pei
赕	dan
赖	lai
赗	feng
赘	zhui
赙	fu
赚	zuan,zhuan
赛	sai
赜	ze
赝	yan
赞	zan
赟	yun
赠	zeng
赡	shan
赢	ying
赣	gan
赤	chi
赦	she
赧	nan
赪	cheng
赫	he
赭	zhe
走	zou
赳	jiu
赴	fu
赵	zhao
赶	gan
起	qi
赿	chi
趁	chen
趄	ju,qie
超	chao
趆	di
越	yue
趋	qu
趒	tiao
趔	lie
趖	suo
趟	tang
趣	cu,qu
趯	yue
趱	zan
足	zu,ju
趴	pa
趵	bao,bo
趸	dun
趺	fu
趼	jian
趾	zhi
趿	ta
跂	qi
跃	yue
跄	qiang
跆	tai
跋	ba
跌	die
跎	tuo
跏	jia
跐	ci
跑	pao
跖	zhi
跗	fu
跚	shan
跛	bo
距	ju
跞	luo,li
跟	gen
跣	xian
跤	jiao
跨	kua
跩	shi,zhuai
跪	gui
跫	qiong
跬	kui
路	lu
跳	tiao
践	jian
跶	da
跷	qiao
跸	bi
跹	xian
跺	duo
跻	ji
跼	ju
跽	ji
一	yi
踀	chu
丁	ding,zheng
七	qi
踅	xue
万	mo,wan
踇	mou
丈	zhang
三	san
踉	liang
上	shang
踊	yong
下	xia
踌	chou
丌	ji
不	bu,fou
与	yu
踏	ta
丐	gai
丑	chou
专	zhuan
且	ju,qie
丕	pi
世	shi
丘	qiu
踘	ju
丙	bing
业	ye
丛	cong
东	dong
丝	si
踝	huai
丞	cheng
踞	ju
踟	chi
踢	ti
丢	diu
踣	bo
两	liang
严	yan
踦	qi
丧	sang
丨	shu
踨	zong
踩	cai
个	ge
踪	zong
丫	ya
踫	pan
踬	zhi
中	zhong
踭	zheng
踮	die,dian
踯	zhi
丰	feng
